fish.id,species,date.caught,month.caught,year.caught,motu,island.side,wind.exposure,date.processed,TL.cm,FL.cm,SL.cm,whole.weight.g,otoliths.label,otoliths.number,gonad.weight.g,sex,stage.coarse,stage.detailed,liver.weight.g,age.final,notes,notes.2
REI06,Acanthurus triostegus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,14.7,,12.3,71.73,Box 1 - G6,1,1.37,f,mature,G,0.88,3,,
REI07,Abudefduf septemfasciatus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,17.7,15.1,13.4,141.78,Box 1 - G7,2,4.61,f,mature,NG,1.06,4,,
REI08,Abudefduf septemfasciatus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,16.3,14.5,13.4,111.5,Box 1 - G8,2,2.17,f,mature,NG,0.72,4,,
REI09,Abudefduf septemfasciatus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,17.9,16.4,14.7,179.3,n/a,0,1.28,m,,,1.64,,,
REI10,Abudefduf septemfasciatus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,16.1,14.5,12.2,87.19,Box 1 - G9,2,0.11,m,,,0.38,2,,
REI11,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,13.5,12.9,10.5,89,Box 1 - G10,2 (1 broken),1.94,f,mature,G,0.33,8,,
REI12,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,13.8,10.4,9.9,37.42,Box 1 - G11,2,0.08,m,,,0.08,4,,
REI13,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,12.5,11,10.1,46.75,Box 1 - G12,2,0.04,m,,,0.19,5,,
REI14,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,12.9,11.5,10,51.05,Box 1 - H1,2,0.27,m,,,0.28,5,,
REI15,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,15,13.9,11.8,71.32,Box 1 - H2,2,0.09,m,,,0.28,9,,
REI16,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,13.5,12,10.3,57.58,Box 1 - H3,2,0.11,m,,,0.16,7,,
REI17,Abudefduf septemfasciatus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,17.7,16,14.1,125.72,Box 1 - H4,2 (1 broken),2.04,f,mature,G,0.46,7,,
REI18,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,12.6,11.5,10.1,49.79,Box 1 - H5,2,0.04,m,,,0.12,3,,
REI19,Lutjanus fulvus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,23.7,22.4,19,180.65,eppendorf,2,2.26,f,mature,NG,0.26,3,,
REI20,Lutjanus fulvus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,24,22.5,19,200,eppendorf,"2, 1 broken",3.49,f,mature,NG,1.23,3,,
REI21,Lutjanus fulvus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,24.7,23.1,20.6,225,eppendorf,2,1.81,f,mature,NG,0.85,4,,
REI22,Lutjanus fulvus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,27,25.5,22.2,265,eppendorf,2,2.75,f,mature,NG,1.32,6,,
REI23,Lutjanus fulvus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,24.3,22.7,19.1,225,eppendorf,2 broken,1.35,f,mature,NG,1.19,2,,
REI29,Cephalopholis argus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,22.4,,19.2,169.78,BOX 1 - H11,2,5.29,f,mature,G,1.6,3,,
REI30,Cephalopholis argus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,23.3,,20.7,194.24,BOX 1 - H12,2,1.68,f,mature,NG,0.95,3,,
REI31,Cephalopholis argus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,30.2,,26.4,415,BOX 2 - A1,1 1/2,0.53,m,,,1.8,8,,
REI32,Cephalopholis argus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,43.8,,38.4,1455,BOX 2 - A2,2,4.22,m,,,9.27,10,,
RIM01,Acanthurus triostegus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,16.3,,13.8,109.55,A1,2,1.12,f,mature,G,0.76,7,,
RIM02,Acanthurus triostegus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,15.8,,13.1,105,A2,2,1.17,f,mature,G,0.69,5,,
RIM03,Stegastes nigricans,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,11.5,10.4,9.4,33.94,A3,1,0.04,m,mature,,0.11,3,,
RIM04,Stegastes nigricans,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,9.3,8.4,7.6,16.46,A4,2,0.03,i,,,,3,,
RIM05,Acanthurus triostegus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,15.4,,12.9,84.62,A5,2,1.14,f,mature,G,0.54,3,,
RIM06,Acanthurus triostegus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,14.8,,12.7,81.89,none,0,0.63,f,mature,G,0.84,,,
RIM07,Abudefduf septemfasciatus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,19.5,17.7,15.8,169.36,A6,1,2.55,f,mature,NG,1.72,11,,
RIM08,Acanthurus triostegus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,14.6,,12.3,78.49,A7,2 (broken),0.76,f,mature,NG,0.43,3,,
RIM10,Lutjanus fulvus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,26.5,,23.5,353.49,vial,2,10.91,f,mature,NG,1.11,7,,
RIM11,Acanthurus triostegus,10-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,15.5,,13.6,107.51,A9,2,2.02,m,mature,,0.28,6,,
RIM12,Cephalopholis argus,10-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,27.6,,24,292.7,A10,2,1.58,f,mature,NG,0.76,8,,
RIM13,Cephalopholis argus,10-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,26.4,,24,285.17,A11,2,9.94,f,mature,G,1.56,6,,
RIM15,Stegastes nigricans,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,12.9,11.4,10.4,53.46,B9,2,0.49,m,mature,,0.09,8,,
RIM16,Stegastes nigricans,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,12.8,11.5,10.2,39.86,B10,2,0.03,f,mature,NG,,4,,
RIM17,Stegastes nigricans,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,9.1,8,6.9,14.72,B11,2,,unk,,,,2,,
RIM18,Abudefduf septemfasciatus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,17.3,16.8,13.8,134.69,B12,2,3.74,f,mature,G,0.7,9,,
