fish.id,species,date.caught,month.caught,year.caught,motu,island.side,wind.exposure,date.processed,sif.name,sample.name,n15,c13,n.percent,c.percent,dup.n15,dup.c13,dup.n,dup.c,trip.n15,trip.c13,trip.n,trip.c
RIM07,Abudefduf septemfasciatus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 H2.raw,F175_RIM 07,8.69,-13.49,14.4,45.39,,,,,,,,
RIM08,Acanthurus triostegus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 G8.raw,F169_RIM 08,7.4,-13.91,14.38,45.19,,,,,,,,
RIM10,Lutjanus fulvus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 F1.raw,F161_RIM 10,8.52,-6.84,14.54,45.45,,,,,,,,
RIM11,Acanthurus triostegus,10-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 E12.raw,F160_RIM 11,6.8,-12.39,14.05,44.24,,,,,,,,
RIM12,Cephalopholis argus,10-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 E11.raw,F159_RIM 12,10.11,-10.66,14.59,45.33,,,,,,,,
RIM13,Cephalopholis argus,10-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 F2.raw,F162_RIM 13,10.55,-11.35,14.53,45.03,,,,,,,,
RIM15,Stegastes nigricans,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 F3.raw,F184_RIM 15,8.46,-13.03,14.35,45.95,,,,,,,,
RIM16,Stegastes nigricans,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 G8.raw,F190_RIM 16,8.07,-10.63,14.11,44.77,,,,,,,,
RIM17,Stegastes nigricans,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 G5.raw,F187_RIM 17,7.55,-10.39,13.97,44.45,,,,,,,,
RIM18,Abudefduf septemfasciatus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 H1.raw,F195_RIM 18,6.43,-5.52,14.46,45.44,,,,,,,,
RIM19,Abudefduf septemfasciatus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 G11.raw,F193_RIM 19,6.63,-6.89,14.51,45.54,,,,,,,,
RIM20,Abudefduf septemfasciatus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 G6.raw,F188_RIM 20,6.82,-6.49,14.35,45.14,,,,,,,,
RIM21,Abudefduf septemfasciatus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 E9.raw,F157_RIM 21,6.83,-6.5,14.31,45.26,,,,,,,,
RIM22,Abudefduf septemfasciatus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 E10.raw,F158_RIM 22,6.54,-6.13,14.35,45.24,,,,,,,,
RIM27,Cephalopholis argus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 G7.raw,F168_RIM 27,10.16,-10.9,14.51,45.3,,,,,,,,
RIM28,Cephalopholis argus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 G10.raw,F171_RIM 28,9.72,-9.47,14.67,45.57,,,,,,,,
RIM29,Cephalopholis argus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 H2.raw,F196_RIM 29,10.17,-9.42,14.62,45.24,,,,,,,,
RIM30,Lutjanus fulvus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 G7.raw,F189_RIM 30,10.59,-10.92,14.64,45.41,,,,,,,,
RIM31,Lutjanus fulvus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230315 Plate 5 H3.raw,F178_RIM 31,10.23,-12.97,14.47,45.83,,,,,,,,
RIM32,Lutjanus fulvus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 H1.raw,F174_RIM 32,10.06,-10.91,14.46,45.76,,,,,,,,
RIM33,Lutjanus fulvus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 E11.raw,F180_RIM 33,10.25,-10.35,14.41,45.63,,,,,,,,
