"","fish.id","species","date.caught","month.caught","year.caught","site.name","motu","island.side","wind.exposure","date.processed","sif.name","sample.name","n15","c13","n.percent","c.percent","dup.n15","dup.c13","dup.n","dup.c","trip.n15","trip.c13","trip.n","trip.c","protection","TL.cm","FL.cm","SL.cm","whole.weight.g","gonad.weight.g","sex","stage.coarse","stage.detailed","liver.weight.g"
"52","RIM04","Stegastes nigricans","27-Nov-21","November",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 G9.raw","F191_RIM 04",8.02,-12.36,14.08,44.67,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",9.3,8.4,7.6,16.46,0.03,"i","","",NA
"53","RIM05","Acanthurus triostegus","27-Nov-21","November",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 E10.raw","F179_RIM 05",7.36,-13.72,14.38,44.95,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",15.4,NA,12.9,84.62,1.14,"f","mature","G",0.54
"54","RIM06","Acanthurus triostegus","27-Nov-21","November",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 G5.raw","F166_RIM 06",7.34,-13.41,14.3,45.1,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",14.8,NA,12.7,81.89,0.63,"f","mature","G",0.84
"55","RIM07","Abudefduf septemfasciatus","27-Nov-21","November",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 H2.raw","F175_RIM 07",8.69,-13.49,14.4,45.39,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",19.5,17.7,15.8,169.36,2.55,"f","mature","NG",1.72
"56","RIM08","Acanthurus triostegus","27-Nov-21","November",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 G8.raw","F169_RIM 08",7.4,-13.91,14.38,45.19,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",14.6,NA,12.3,78.49,0.76,"f","mature","NG",0.43
"57","RIM10","Lutjanus fulvus","27-Nov-21","November",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 F1.raw","F161_RIM 10",8.52,-6.84,14.54,45.45,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",26.5,NA,23.5,353.49,10.91,"f","mature","NG",1.11
"58","RIM11","Acanthurus triostegus","10-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 E12.raw","F160_RIM 11",6.8,-12.39,14.05,44.24,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",15.5,NA,13.6,107.51,2.02,"m","mature","",0.28
"59","RIM12","Cephalopholis argus","10-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 E11.raw","F159_RIM 12",10.11,-10.66,14.59,45.33,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",27.6,NA,24,292.7,1.58,"f","mature","NG",0.76
"60","RIM13","Cephalopholis argus","10-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 F2.raw","F162_RIM 13",10.55,-11.35,14.53,45.03,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",26.4,NA,24,285.17,9.94,"f","mature","G",1.56
"61","RIM15","Stegastes nigricans","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 F3.raw","F184_RIM 15",8.46,-13.03,14.35,45.95,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",12.9,11.4,10.4,53.46,0.49,"m","mature","",0.09
"62","RIM16","Stegastes nigricans","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 G8.raw","F190_RIM 16",8.07,-10.63,14.11,44.77,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",12.8,11.5,10.2,39.86,0.03,"f","mature","NG",NA
"63","RIM17","Stegastes nigricans","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 G5.raw","F187_RIM 17",7.55,-10.39,13.97,44.45,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",9.1,8,6.9,14.72,NA,"unk","","",NA
"64","RIM18","Abudefduf septemfasciatus","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 H1.raw","F195_RIM 18",6.43,-5.52,14.46,45.44,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",17.3,16.8,13.8,134.69,3.74,"f","mature","G",0.7
"65","RIM19","Abudefduf septemfasciatus","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 G11.raw","F193_RIM 19",6.63,-6.89,14.51,45.54,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",16.4,14.6,12.6,122.15,0.08,"m","mature","",0.24
"66","RIM20","Abudefduf septemfasciatus","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 G6.raw","F188_RIM 20",6.82,-6.49,14.35,45.14,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",15.8,14.1,12.3,111.66,3.28,"f","mature","G",0.21
"67","RIM21","Abudefduf septemfasciatus","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 E9.raw","F157_RIM 21",6.83,-6.5,14.31,45.26,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",17.3,15.5,13.8,145.38,3.12,"f","mature","G",0.56
"68","RIM22","Abudefduf septemfasciatus","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 E10.raw","F158_RIM 22",6.54,-6.13,14.35,45.24,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",17,15.2,13.3,139.06,3.88,"f","mature","G",0.41
"69","RIM27","Cephalopholis argus","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 G7.raw","F168_RIM 27",10.16,-10.9,14.51,45.3,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",23.6,NA,20.3,178.8,4.81,"f","mature","G",0.79
"70","RIM28","Cephalopholis argus","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 G10.raw","F171_RIM 28",9.72,-9.47,14.67,45.57,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",32.8,NA,28.7,592.24,0.95,"m","mature","",2.71
"71","RIM29","Cephalopholis argus","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 H2.raw","F196_RIM 29",10.17,-9.42,14.62,45.24,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",35.7,NA,31.3,729.74,1.12,"m","mature","",2.82
"72","RIM30","Lutjanus fulvus","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 G7.raw","F189_RIM 30",10.59,-10.92,14.64,45.41,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",25.9,24.4,21.6,247.48,1,"m","mature","",1.02
"73","RIM31","Lutjanus fulvus","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230315 Plate 5 H3.raw","F178_RIM 31",10.23,-12.97,14.47,45.83,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",26,24.3,21.7,218.16,1.99,"f","mature","G",1.19
"74","RIM32","Lutjanus fulvus","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 H1.raw","F174_RIM 32",10.06,-10.91,14.46,45.76,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",27.9,23.3,26,298.08,2.06,"f","mature","G",1.77
"75","RIM33","Lutjanus fulvus","13-Dec-21","December",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 E11.raw","F180_RIM 33",10.25,-10.35,14.41,45.63,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",27.5,22.8,25.8,316.41,9.07,"f","mature","G",1.42
