"sample.id","Observed","Shannon","FaithPD","collection.date","motu","island.side","station","site","transect","distance.along.transect","lat","long","sample.type","health.state","algae.N15","algae.C13.not.acid","algae.N.percent","rat.status","mL_sterivex","Evenness","RelAbund_Rhodospirillales_AEGEAN_169_marine_group","RelAbund_SAR11_CladeIa","RelAbund_SAR11_CladeIb","RelAbund_SAR11_CladeII","RelAbund_Prochlorococcus","RelAbund_SAR116_Clade","RelAbund_SAR86_Clade","RelAbund_Synechococcus","RelAbund_Cellvibrionales_Aestuariicella","RelAbund_Alteromonadales_Agaribacter","RelAbund_Cytophagales_Candidatus_Amoebophilus","RelAbund_Endozoicomonas","RelAbund_Alteromonadales_Glaciecola","RelAbund_Oceanospirillales_Neptuniibacter","RelAbund_Cellvibrionales_Porticoccus","RelAbund_Woesearchaeales_SCGC_AAA286E23","RelAbund_Litoricola","RelAbund_Uncultured_Alteromonadaceaeae","NMDS1","NMDS2","beta_dispersion_motu_islandside","site.name"
"TC175",30,1.29892818,6.799940038,"10-Nov-21","reiono","leeward","Re1Tb10",1,"b",10,17.04634,149.54778,"coral","E5",8.65,-7.06,0.61,"none (recently eradicated)",NA,0.381903204737038,NA,NA,NA,NA,NA,NA,NA,NA,0.0206469373709566,0,0,0.534067446662079,0.00344115622849277,0,0,0.366139022711631,0,0,-2.99292685182021,4.76193881205294,0.630945083990056,"Re1"
"TC176",34,1.476046848,6.794561791,"10-Nov-21","reiono","leeward","Re1Tb20",1,"b",20,17.04631,149.54784,"coral","E5",7.5,-8.53,0.48,"none (recently eradicated)",NA,0.418575139352964,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00275292498279422,0,0.946317962835513,0,0,0,0.0206469373709566,0,0,1.04714757739487,1.87628010769669,0.373021564437873,"Re1"
"TC177",89,1.882289838,10.19582148,"10-Nov-21","reiono","leeward","Re1Tb30",1,"b",30,17.04633,149.54796,"coral","E5",7.28,-8.92,0.58,"none (recently eradicated)",NA,0.419345583592535,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0722642807983482,0,0.0502408809359945,0.0192704748795595,0.00688231245698555,0.759119064005506,0.00275292498279422,0,0,-3.05841031341344,-2.30614485653042,0.742247223668947,"Re1"
"TC178",10,1.308461144,2.304111397,"10-Nov-21","reiono","leeward","Re1Tb40",1,"b",40,17.0463,149.54805,"coral","E5",5.15,-8.04,0.36,"none (recently eradicated)",NA,0.568257454624016,NA,NA,NA,NA,NA,NA,NA,NA,0.00206469373709566,0,0.00137646249139711,0.992429456297316,0,0,0,0.00206469373709566,0,0,2.54561567839009,0.536592382210051,0.400195439242586,"Re1"
"TC179",17,1.427974974,4.115146377,"10-Nov-21","reiono","leeward","Re1Tc10",1,"c",10,17.04688,149.54765,"coral","E5",9.43,-8.02,0.49,"none (recently eradicated)",NA,0.504012511798923,NA,NA,NA,NA,NA,NA,NA,NA,0.00344115622849277,0,0.000688231245698555,0.987611837577426,0,0,0,0.00137646249139711,0,0,2.45600182331122,0.303740307107285,0.398012839456471,"Re1"
"TC180",85,1.106349495,13.34068555,"10-Nov-21","reiono","leeward","Re1Tc20",1,"c",20,17.04686,149.54776,"coral","E5",7.99,-7.19,0.56,"none (recently eradicated)",NA,0.249029111475658,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.844459738472127,0,0,0,0,0,0,-6.3961384268731,1.02458355610024,0.669464904176217,"Re1"
"TC181",8,1.164925721,1.626248145,"10-Nov-21","reiono","leeward","Re1Tc30",1,"c",30,17.04684,149.54784,"coral","D5",7.07,-9.46,0.49,"none (recently eradicated)",NA,0.560210853563567,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.995870612525809,0,0,0,0,0,0,3.41945376315761,0.164898184506144,0.402487383355147,"Re1"
"TC182",31,1.894253547,7.027327268,"10-Nov-21","reiono","leeward","Re1Tc40",1,"c",40,17.04684,149.54794,"coral","D5",6.68,-7.91,0.48,"none (recently eradicated)",NA,0.551619279339744,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.12388162422574,0.824501032346869,0,0,0,0,0,0,1.07378786487133,0.932922072688291,0.320713934888851,"Re1"
"TC183",91,2.02779975,14.87139666,"5-Nov-21","reiono","windward","Re2Ta10",2,"a",10,17.04488,149.54433,"coral","E5",5.76,-8.91,0.29,"none (recently eradicated)",NA,0.44953733253506,NA,NA,NA,NA,NA,NA,NA,NA,0.625602202339986,0,0,0.111493461803166,0,0,0,0.0282174810736407,0,0,-2.79465503136217,0.93270388797722,0.707180454923988,"Re2"
"TC184",86,2.078250256,13.20921838,"5-Nov-21","reiono","windward","Re2Ta20",2,"a",20,17.04486,149.54424,"coral","E5",6.21,-8.84,0.43,"none (recently eradicated)",NA,0.466566730831246,NA,NA,NA,NA,NA,NA,NA,NA,0.0529938059187887,0,0.0839642119752237,0.40949759119064,0,0,0.000688231245698555,0.35719201651755,0,0.00206469373709566,-1.84866770089645,3.54688437847656,0.730211398938209,"Re2"
