"","N.15_at_10m","N.15_at_20m","N.15_at_30m","N.15_at_40m","breeding_biomass_kgha_100m","breeding_biomass_kgha_200m","breeding_biomass_kgha_side","breeding_biomass_kgha_motu","breeding_density_ha_100m","breeding_density_ha_200m","breeding_density_ha_side","breeding_density_ha_motu","adult_biomass_kgha_100m","adult_biomass_kgha_200m","adult_biomass_kgha_side","adult_biomass_kgha_motu","adult_density_ha_100m","adult_density_ha_200m","adult_density_ha_side","adult_density_ha_motu"
"breeding_density_ha_side",0.0248085582881921,0.221299583052533,0.286796082216583,0.56406048985106,-0.119438751129118,-0.141577580681995,0.842597570620314,-0.411653563650814,-0.123814076661445,-0.150233899059714,1,-0.274026081254073,-0.102925543321802,-0.135133523933819,0.722527690213201,-0.345140321486128,-0.104307573519997,-0.157309849018871,0.996804493202386,-0.296131896100431
"breeding_density_ha_motu",0.591559906975481,0.522734081786689,0.513566008847555,0.396990072712568,0.789517766477525,0.846752628702865,0.0443789755869308,0.938094864991747,0.918694723598934,0.965323280028221,-0.274026081254073,1,0.818934638758601,0.822919724368755,0.340231182605491,0.985774450592217,0.888409777474262,0.926479041929159,-0.298007019723112,0.998733752002817
"adult_biomass_kgha_100m",0.51356899864142,0.449822827362254,0.383873007298011,0.307036682650593,0.995529130685409,0.99741291241523,0.318166480995705,0.694057392031641,0.974592375573365,0.833562255655621,-0.102925543321802,0.818934638758601,1,0.995740982576383,0.372954892151009,0.771289921324467,0.986039672303636,0.969805346992355,-0.15192979264494,0.807123623622981
"adult_biomass_kgha_200m",0.573560319730046,0.50427027339415,0.431461525019994,0.333267680845946,0.995877471404054,0.997695426738756,0.314345259659831,0.720396825539648,0.968031656207061,0.819432768358347,-0.135133523933819,0.822919724368755,0.995740982576383,1,0.379483190941971,0.786185046960716,0.979518707611736,0.966233371335587,-0.180413951829892,0.814386237154362
"adult_biomass_kgha_side",0.609494482670835,0.759731397669971,0.782608050044193,0.850073305274081,0.349794472231158,0.36617775290051,0.857138489880577,0.226507739281648,0.407286263724004,0.391393233741304,0.722527690213201,0.340231182605491,0.372954892151009,0.379483190941971,1,0.290429020615017,0.413259281764253,0.395228337648424,0.727190701519542,0.326342233106627
"adult_biomass_kgha_motu",0.663765184714351,0.574505671200299,0.565950440900578,0.427331953008587,0.753093984639796,0.8089828012415,0.00470783134587461,0.982967019122205,0.869603194333228,0.907938698176433,-0.345140321486128,0.985774450592217,0.771289921324467,0.786185046960716,0.290429020615017,1,0.834268676722867,0.879110201228331,-0.366635803321706,0.992981658204954
"adult_density_ha_100m",0.516697911271099,0.465078921012978,0.413383852962294,0.318846406381122,0.968185182398484,0.986965154767437,0.278266769508971,0.747880244433316,0.997160857172254,0.912337076036194,-0.104307573519997,0.888409777474262,0.986039672303636,0.979518707611736,0.413259281764253,0.834268676722867,1,0.995432392156927,-0.146867332220452,0.874862110454104
"adult_density_ha_200m",0.536362009402953,0.478656021071554,0.431611068343073,0.317403141537107,0.949071608545336,0.976302503279241,0.220383750258694,0.798665677233685,0.99863845417698,0.939352405541057,-0.157309849018871,0.926479041929159,0.969805346992355,0.966233371335587,0.395228337648424,0.879110201228331,0.995432392156927,1,-0.195942124173219,0.915072349520875
"adult_density_ha_side",0.0251656783422014,0.228408572104057,0.294659389054375,0.556060890830664,-0.17025393228971,-0.188683513721478,0.822555319554926,-0.429730797381855,-0.165352461990689,-0.176165641293911,0.996804493202386,-0.298007019723112,-0.15192979264494,-0.180413951829892,0.727190701519542,-0.366635803321706,-0.146867332220452,-0.195942124173219,1,-0.319440630083582
"adult_density_ha_motu",0.614942277246468,0.539794307070787,0.530782242213195,0.407948004470278,0.78097740625091,0.837980601523729,0.0326373351071053,0.954332603091091,0.906749105295182,0.951034877285027,-0.296131896100431,0.998733752002817,0.807123623622981,0.814386237154362,0.326342233106627,0.992981658204954,0.874862110454104,0.915072349520875,-0.319440630083582,1
