"","breeding_biomass_kgha_side","adult_biomass_kgha_side","N.15_at_10m","N.15_at_20m","N.15_at_30m","N.15_at_40m","mean.algae.richness","mean.algae.evenness","mean.algae.shannon","mean.algae.turbinaria","mean.algae.lobophora","mean.algae.halimeda","mean.algae.chl.fastigita","mean.algae.caul.serrulata","coral.mean.richness","coral.mean.evenness","coral.mean.shannon","coral.mean.faithPD","coral.mean.betadisp","coral.mean.endozoicomonas","water.mean.richness","water.mean.evenness","water.mean.shannon","water.mean.faithPD","water.mean.betadisp","water.mean.litoricola","water.mean.Synechococcus","water.mean.Prochlorococcus"
"coral.mean.shannon",0.27421222583033,0.675282349299106,0.365429559934695,0.392056140518786,0.451281666695464,0.751069581295405,-0.588742129525982,-0.710438498893146,-0.600687167583215,-0.511571720307477,-0.151362505779668,-0.546553772600375,-0.531094319045004,-0.548573719513631,0.969695100294789,0.812670161060033,1,0.961553272760148,0.521761297054161,-0.971293368409861,-0.525413461097659,-0.760459058991043,-0.659395660827061,-0.487188183795983,0.652829401963007,0.7201127743372,0.231078316328751,-0.743313375831432
"coral.mean.faithPD",0.408864847963134,0.702632936412078,0.496963756609377,0.49251054335329,0.5565345799033,0.742719413619343,-0.678457105436542,-0.65450227452564,-0.660953198302243,-0.514795750388825,-0.154502906456342,-0.600739542787633,-0.477053233017102,-0.672888098974221,0.997312788163749,0.630753845303051,0.961553272760148,1,0.611972215002582,-0.956126301583776,-0.578364884869408,-0.762533214555884,-0.687049864863863,-0.546609859861864,0.527127308814409,0.746591739359339,0.321934790415821,-0.779206068027501
"coral.mean.betadisp",0.422116028129418,0.545712999455538,0.810422120890547,0.897586307129044,0.950498526184453,0.996743335335917,-0.502703332100056,-0.750456593333825,-0.622236426336073,0.0232228072123325,0.162181224045184,-0.945048146754828,0.125234073632054,-0.132410623512117,0.60665838309716,0.254261274797623,0.521761297054161,0.611972215002582,1,-0.642353167703724,-0.246051030098826,-0.243547720082764,-0.247277431083585,-0.235087572464235,0.345676954341821,0.366855334385792,0.196848502509933,-0.556765420991338
"coral.mean.endozoicomonas",-0.32304010822151,-0.72456786270194,-0.516776390660272,-0.540477817219181,-0.602081083557711,-0.876684393669887,0.581073814009868,0.808010418311592,0.610182772783771,0.530049834292578,0.261564981891959,0.60756105810914,0.32017044638755,0.550621686508734,-0.957709866746995,-0.723401637254646,-0.971293368409861,-0.956126301583776,-0.642353167703724,1,0.380202015840626,0.629271405081781,0.524065429553043,0.347062378828901,-0.698690751851782,-0.621888133957831,-0.148054643206061,0.706168892802048
"water.mean.richness",-0.520030402553402,-0.466437292630558,-0.208567335319175,-0.197715116002322,-0.186032714216607,-0.220386130577583,0.749443316742463,0.135237544037774,0.699049801556727,-0.159824523234364,-0.412908710481863,0.466363967692236,0.857987995564396,0.462054680808166,-0.606782650169027,-0.413538738551433,-0.525413461097659,-0.578364884869408,-0.246051030098826,0.380202015840626,1,0.924873718802822,0.973235047327754,0.996829543733758,0.225148142671174,-0.924083814430192,-0.848246278494509,0.811327048948548
"water.mean.evenness",-0.519500211241195,-0.64544839172741,-0.244246891288881,-0.219976398087597,-0.213041308933926,-0.13498260106839,0.797127523407084,0.404722479950939,0.744674310818616,0.0918871508040243,-0.121105002323002,0.43008840602353,0.870404172420232,0.620462736275238,-0.793358092221285,-0.639910280887523,-0.760459058991043,-0.762533214555884,-0.243547720082764,0.629271405081781,0.924873718802822,1,0.985225348269775,0.914617343110039,-0.0489470276802877,-0.975028378287005,-0.740726276356553,0.886943962026019
"water.mean.shannon",-0.568736460639393,-0.607265811133535,-0.261171866920585,-0.23556712163648,-0.219154164873924,-0.177612020396516,0.816416240811391,0.336990672349084,0.76243361458321,-0.0396441395526086,-0.225174145385047,0.453348844787534,0.865632527100121,0.581747771969414,-0.719098509722689,-0.536829697678713,-0.659395660827061,-0.687049864863863,-0.247277431083585,0.524065429553043,0.973235047327754,0.985225348269775,1,0.969849864482491,0.0986017290850402,-0.978690502429944,-0.826719907138735,0.884497569180181
"water.mean.faithPD",-0.572376866740223,-0.491196862835927,-0.240299558773757,-0.220163887988517,-0.197019928663543,-0.219753186701375,0.777141751985316,0.135481204733661,0.724494090246651,-0.209869622633847,-0.391162494636587,0.459581045588654,0.832783671293184,0.476111953831809,-0.577475520839122,-0.374444963806474,-0.487188183795983,-0.546609859861864,-0.235087572464235,0.347062378828901,0.996829543733758,0.914617343110039,0.969849864482491,1,0.285228892197706,-0.926663253664837,-0.887427448227891,0.82073135999275
"water.mean.betadisp",-0.397897801285951,0.128238214026514,0.00651447366023584,0.107070719447177,0.213417652942087,0.166395160636349,0.162638890960213,-0.828455369482185,0.0779669733732637,-0.682060088479959,-0.228358505936131,-0.225265690987844,0.0147761051058196,0.0256702260560333,0.510239039442963,0.648978844475609,0.652829401963007,0.527127308814409,0.345676954341821,-0.698690751851782,0.225148142671174,-0.0489470276802877,0.0986017290850402,0.285228892197706,1,-0.0374632383952822,-0.567806669195827,-0.0350397635237293
"water.mean.litoricola",0.675548162083295,0.754192305202968,0.426055468312713,0.400683720706172,0.37564887889537,0.300167699389666,-0.901821096488301,-0.601742198448586,-0.869874508764785,0.0488592257706342,0.11534754098182,-0.553667234457306,-0.765108597953027,-0.625959332058887,0.782139398705643,0.574838609903296,0.7201127743372,0.746591739359339,0.366855334385792,-0.621888133957831,-0.924083814430192,-0.975028378287005,-0.978690502429944,-0.926663253664837,-0.0374632383952822,1,0.833507536102211,-0.959834829726645
"water.mean.Synechococcus",0.822535016431696,0.605420171908158,0.441248846711621,0.375564495079342,0.291075259304334,0.252681756708939,-0.860104793790789,-0.51022844972988,-0.810420558561963,0.473114769449848,0.211269672240176,-0.411478069571137,-0.559432003644431,-0.498170443223511,0.363074007849086,0.11790751370885,0.231078316328751,0.321934790415821,0.196848502509933,-0.148054643206061,-0.848246278494509,-0.740726276356553,-0.826719907138735,-0.887427448227891,-0.567806669195827,0.833507536102211,1,-0.795345674824395
