Date_collected,Month,Year,Motu,Purpose,Collected_by,GPS_name,Longitude,Latitude,vial,N15,C13,N_percent,C_percent,Notes,Duplicate_N15,Duplicate_C13,Duplicate_N,Duplicate_C,Triplicate_N15,Triplicate_C13,Triplicate_N,Triplicate_C
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",374,-149.55641,-16.989179,374 HIR 07/11/21,10.51,-8.44,0.46,27.77,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",375,-149.55674,-16.989005,375 HIR 07/11/21,9.98,-10.25,0.36,26.82,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",376,-149.55742,-16.988791,376 HIR 07/11/21,11.24,-10.3,0.42,26.37,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",377,-149.5578,-16.988813,377 HIR 07/11/21,10.22,-8.74,0.41,28.11,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",378,-149.55849,-16.989084,378 HIR 07/11/21,9.2,-9.64,0.53,27.75,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",379,-149.55898,-16.989219,379 HIR 07/11/21,10.55,-10.69,0.47,28.24,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",380,-149.55939,-16.989372,380 HIR 07/11/21,13.24,-11.44,0.63,27.3,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",381,-149.56001,-16.989438,381 HIR 07/11/21,14.22,-10.82,0.63,25.98,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",382,-149.56051,-16.989095,382 HIR 07/11/21,13.35,-9.74,0.78,26.59,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",383,-149.56055,-16.988731,383 HIR 07/11/21,12.02,-8.4,0.5,26.75,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",384,-149.56061,-16.988109,384 HIR 07/11/21,12.29,-9.74,0.67,27.62,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",385,-149.5603,-16.987769,385 HIR 07/11/21,11.68,-9.22,0.63,27.97,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",386,-149.56012,-16.987382,386 HIR 07/11/21,11.22,-9.12,0.58,27.11,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",387,-149.55992,-16.986937,387 HIR 07/11/21,11.22,-8.14,0.6,27.86,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,*no algae found nov 2021,388,-149.55969,-16.986594,,,,,,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu Hoa,ATA,*no algae found nov 2021,389,-149.56631,-16.988271,,,,,,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu Hoa,ATA,"Hannah Epstein, Kal Bistolas (OSU)",390,-149.56616,-16.98765,390 _09/11/21,11.68,-8.97,0.79,27.91,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu Hoa,ATA,"Hannah Epstein, Kal Bistolas (OSU)",391,-149.56607,-16.987034,391 _09/11/21,10.77,-8.26,0.5,27.26,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu Hoa,ATA,"Hannah Epstein, Kal Bistolas (OSU)",392,-149.56613,-16.986478,392 _09/11/21,10.83,-7.24,0.6,26.46,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu Hoa,ATA,"Hannah Epstein, Kal Bistolas (OSU)",393,-149.56621,-16.986039,393 _09/11/21,11.27,-8.36,0.73,26.27,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu Hoa,ATA,"Hannah Epstein, Kal Bistolas (OSU)",394,-149.56633,-16.985605,394 _09/11/21,12.32,-8.82,0.68,26.4,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu Hoa,ATA,"Hannah Epstein, Kal Bistolas (OSU)",395,-149.56649,-16.984982,395 _09/11/21,9.54,-7.21,0.49,26.8,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu Hoa,ATA,"Hannah Epstein, Kal Bistolas (OSU)",396,-149.56667,-16.984275,396 _09/11/21,9.36,-9.23,0.56,26.42,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu Hoa,ATA,"Hannah Epstein, Kal Bistolas (OSU)",397,-149.56682,-16.983991,397 _09/11/21,8.24,-8.77,0.65,26.73,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",398,-149.56713,-16.989349,398 _09/11/21,12.18,-10.27,0.54,27.16,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu,ATA,*no algae found nov 2021,399,-149.56776,-16.989092,,,,,,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",400,-149.56913,-16.98807,400 _09/11/21,6.25,-8.39,0.31,29.5,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu,ATA,*no algae found nov 2021,401,-149.56952,-16.987914,,,,,,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",402,-149.57001,-16.987686,402 _09/11/21,6.2,-8.6,0.44,28.7,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",403,-149.57051,-16.98766,403 _09/11/21,5.78,-8.41,0.46,28.24,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",404,-149.57107,-16.987705,404 _09/11/21,5.63,-8.69,0.44,29.24,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",405,-149.57171,-16.987853,405 _09/11/21,6.18,-9.42,0.5,27.24,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",406,-149.57226,-16.987895,406 _09/11/21,5.88,-10.17,0.49,27.21,,,,,,,,,
9-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",407,-149.57286,-16.987839,407 _09/11/21,6.21,-9.01,0.55,27.35,,,,,,,,,
4-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",408,-149.5735,-16.987889,408 _04/11/21,5.51,-9.72,0.49,29.8,,,,,,,,,
4-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",409,-149.57401,-16.988101,409 _04/11/21,5.27,-10.4,0.42,27.39,,,,,,,,,
4-Nov-21,Nov,2021,Tiaraunu,ATA,*no algae found nov 2021,410,-149.5746,-16.988586,,,,,,,,,,,,,,
4-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",411,-149.57503,-16.988924,411 _04/11/21,5.19,-9.99,0.43,29.34,,,,,,,,,
4-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",412,-149.57554,-16.98953,412 _04/11/21,4.86,-9.63,0.45,30.35,,,,,,,,,
4-Nov-21,Nov,2021,Tiaraunu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",413,-149.57601,-16.990189,413 _04/11/21,5.12,-9.39,0.51,30.16,,,,,,,,,
4-Nov-21,Nov,2021,Tiaraunu,ATA,*no algae found nov 2021,414,-149.57672,-16.991015,,,,,,,,,,,,,,
